epoch,step,train_acc,train_loss
0,49,0.5,0.6951591372489929
0,99,0.65625,0.689185380935669
0,149,0.4375,0.6924217939376831
0,199,0.46875,0.6998471021652222
0,249,0.65625,0.6878438591957092
0,299,0.53125,0.6925877332687378
0,349,0.65625,0.6789333820343018
0,399,0.34375,0.698815643787384
0,449,0.5,0.6954002380371094
0,499,0.625,0.6914320588111877
0,549,0.65625,0.6864574551582336
0,599,0.53125,0.6970180869102478
0,649,0.6875,0.6854149103164673
0,699,0.4375,0.7017117738723755
0,749,0.65625,0.6839906573295593
0,799,0.375,0.7005650997161865
1,849,0.5,0.6933171153068542
1,899,0.40625,0.698294997215271
1,949,0.40625,0.6959468126296997
1,999,0.625,0.6902379393577576
1,1049,0.375,0.73602294921875
1,1099,0.46875,0.6940643787384033
1,1149,0.625,0.6881674528121948
1,1199,0.5,0.6936830282211304
1,1249,0.53125,0.693347692489624
1,1299,0.375,0.6953223347663879
1,1349,0.5625,0.6923303604125977
1,1399,0.4375,0.6941947340965271
1,1449,0.375,0.7040132880210876
1,1499,0.46875,0.7091469764709473
1,1549,0.5,0.6933544278144836
1,1599,0.5,0.6938738226890564
2,1649,0.53125,0.6925469636917114
2,1699,0.34375,0.6993737816810608
2,1749,0.4375,0.693843424320221
2,1799,0.46875,0.6933479905128479
2,1849,0.625,0.6832746267318726
2,1899,0.59375,0.6898260712623596
2,1949,0.5625,0.6896274089813232
2,1999,0.5625,0.6874545812606812
2,2049,0.6875,0.6847691535949707
2,2099,0.5,0.6912433505058289
2,2149,0.46875,0.6923341751098633
2,2199,0.46875,0.6928752660751343
2,2249,0.46875,0.6937950253486633
2,2299,0.53125,0.6909881234169006
2,2349,0.4375,0.6949459910392761
2,2399,0.375,0.7001001238822937
2,2449,0.4375,0.6961166858673096
3,2499,0.5625,0.6923506259918213
3,2549,0.5,0.6935890913009644
3,2599,0.5,0.692267894744873
3,2649,0.34375,0.695840060710907
3,2699,0.40625,0.7018836736679077
3,2749,0.625,0.6868684887886047
3,2799,0.71875,0.6800669431686401
3,2849,0.375,0.6982753276824951
3,2899,0.6875,0.6886836886405945
3,2949,0.375,0.6956008672714233
3,2999,0.375,0.696026623249054
3,3049,0.46875,0.6955935955047607
3,3099,0.46875,0.6934911608695984
3,3149,0.5,0.6940233111381531
3,3199,0.65625,0.6888238787651062
3,3249,0.46875,0.6939722299575806
4,3299,0.46875,0.6943058967590332
4,3349,0.625,0.6881353259086609
4,3399,0.5625,0.6905984282493591
4,3449,0.59375,0.6929181814193726
4,3499,0.46875,0.6952738761901855
4,3549,0.71875,0.6866016983985901
4,3599,0.28125,0.7023165225982666
4,3649,0.46875,0.69413161277771
4,3699,0.5,0.6936753392219543
4,3749,0.59375,0.6911860704421997
4,3799,0.71875,0.6900235414505005
4,3849,0.375,0.6979459524154663
4,3899,0.625,0.6880811452865601
4,3949,0.25,0.7060087323188782
4,3999,0.625,0.689860999584198
4,4049,0.59375,0.6925116181373596
