epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,9,0.6875,0.6689744591712952,,
0,,19,0.5,0.7055498361587524,,
0,,29,0.78125,0.6411343812942505,,
0,,39,0.46875,0.7007566690444946,,
0,,49,0.46875,0.7180014252662659,,
0,,59,0.34375,0.7859580516815186,,
0,,69,0.625,0.680755615234375,,
0,,79,0.21875,0.753197431564331,,
0,,89,0.375,0.7026931047439575,,
0,,99,0.4375,0.6958149075508118,,
0,,109,0.40625,0.7001501321792603,,
0,,119,0.40625,0.7018427848815918,,
0,,129,0.5,0.6957067251205444,,
0,,139,0.53125,0.6999553442001343,,
0,,149,0.53125,0.6994004249572754,,
0,,159,0.4375,0.6940160393714905,,
0,,169,0.5,0.7001652717590332,,
0,,179,0.625,0.6855003237724304,,
0,,189,0.375,0.7061313390731812,,
0,,199,0.4375,0.6925965547561646,,
0,,209,0.4375,0.6967201232910156,,
0,,219,0.40625,0.6965137720108032,,
0,,229,0.4375,0.6923896074295044,,
0,,239,0.40625,0.7013024091720581,,
0,,249,0.5625,0.6923618316650391,,
0,,259,0.65625,0.685880720615387,,
0,,269,0.53125,0.6900432109832764,,
0,,279,0.59375,0.68967604637146,,
0,,289,0.4375,0.7016065120697021,,
0,,299,0.5625,0.691171407699585,,
0,,309,0.4375,0.6941811442375183,,
0,,319,0.5,0.6944933533668518,,
0,,329,0.625,0.6940860748291016,,
0,,339,0.59375,0.6848394274711609,,
0,,349,0.4375,0.6952824592590332,,
0,,359,0.53125,0.6879539489746094,,
0,,369,0.5625,0.6880548000335693,,
0,,379,0.53125,0.6947524547576904,,
0,,389,0.5625,0.6879098415374756,,
0,,399,0.5625,0.6902727484703064,,
0,,409,0.5625,0.6914348602294922,,
0,,419,0.40625,0.694965124130249,,
0,,429,0.65625,0.6851015686988831,,
0,,439,0.53125,0.6929419636726379,,
0,,449,0.53125,0.6914856433868408,,
0,,459,0.46875,0.6909799575805664,,
0,,469,0.4375,0.6928712129592896,,
0,,479,0.5625,0.6939811706542969,,
0,,489,0.4375,0.7010147571563721,,
0,,499,0.5625,0.6846498847007751,,
0,,509,0.46875,0.7002918124198914,,
0,,519,0.5,0.6965234279632568,,
0,,529,0.5625,0.6878751516342163,,
0,,539,0.46875,0.7074323892593384,,
0,,549,0.34375,0.7097190618515015,,
0,,559,0.625,0.6876790523529053,,
0,,569,0.5625,0.6890015602111816,,
0,,579,0.40625,0.7260965704917908,,
0,,589,0.46875,0.6962943077087402,,
0,,599,0.4375,0.6887980699539185,,
0,,609,0.375,0.6990702748298645,,
0,,619,0.6875,0.6782308220863342,,
0,,629,0.46875,0.6983857154846191,,
0,,639,0.59375,0.6826202869415283,,
0,,643,,,0.4827253520488739,0.6955354809761047
,0.0009990143508499217,644,,,,
1,,649,0.625,0.6882966756820679,,
1,,659,0.5,0.6948767900466919,,
1,,669,0.5,0.6961891651153564,,
1,,679,0.53125,0.6916400194168091,,
1,,689,0.4375,0.7020341753959656,,
1,,699,0.375,0.7025429010391235,,
1,,709,0.46875,0.6988531351089478,,
1,,719,0.5,0.6932018995285034,,
1,,729,0.75,0.6716041564941406,,
1,,739,0.5,0.6951334476470947,,
1,,749,0.53125,0.6908559203147888,,
1,,759,0.71875,0.6836081743240356,,
1,,769,0.59375,0.6869943737983704,,
1,,779,0.5,0.6969741582870483,,
1,,789,0.46875,0.6921365261077881,,
1,,799,0.4375,0.6970807313919067,,
1,,809,0.59375,0.6854827404022217,,
1,,819,0.5625,0.6914545297622681,,
1,,829,0.375,0.7013029456138611,,
1,,839,0.21875,0.7113615274429321,,
1,,849,0.34375,0.6970877647399902,,
1,,859,0.40625,0.6968746185302734,,
1,,869,0.53125,0.6937291622161865,,
1,,879,0.53125,0.6913163661956787,,
1,,889,0.25,0.7030594348907471,,
1,,899,0.53125,0.6933245658874512,,
1,,909,0.3125,0.699076771736145,,
1,,919,0.59375,0.6891365051269531,,
1,,929,0.5,0.6936913132667542,,
1,,939,0.5,0.6918329000473022,,
1,,949,0.375,0.696334958076477,,
1,,959,0.46875,0.6932520270347595,,
1,,969,0.5625,0.6907775402069092,,
1,,979,0.5,0.6926981210708618,,
1,,989,0.59375,0.6915073990821838,,
1,,999,0.625,0.6890977621078491,,
1,,1009,0.40625,0.6952540874481201,,
1,,1019,0.4375,0.6961671113967896,,
1,,1029,0.375,0.7003331184387207,,
1,,1039,0.5625,0.6908706426620483,,
1,,1049,0.4375,0.6957952976226807,,
1,,1059,0.59375,0.6843072175979614,,
1,,1069,0.5625,0.6919318437576294,,
1,,1079,0.5625,0.6906037926673889,,
1,,1089,0.59375,0.6845473051071167,,
1,,1099,0.34375,0.7064934372901917,,
1,,1109,0.3125,0.7022572755813599,,
1,,1119,0.46875,0.6922011375427246,,
1,,1129,0.75,0.6843209266662598,,
1,,1139,0.21875,0.7395752668380737,,
1,,1149,0.4375,0.7149233222007751,,
1,,1159,0.71875,0.6518970727920532,,
1,,1169,0.5,0.696038544178009,,
1,,1179,0.65625,0.6873588562011719,,
1,,1189,0.5625,0.6849552392959595,,
1,,1199,0.40625,0.6932578682899475,,
1,,1209,0.34375,0.697683572769165,,
1,,1219,0.46875,0.6906203627586365,,
1,,1229,0.65625,0.6793677806854248,,
1,,1239,0.59375,0.686870813369751,,
1,,1249,0.53125,0.6918339729309082,,
1,,1259,0.59375,0.6895131468772888,,
1,,1269,0.4375,0.7008681297302246,,
