epoch,step,train_acc,train_loss
0,49,0.5,0.7198823094367981
0,99,0.40625,0.6942874789237976
0,149,0.625,0.6932320594787598
0,199,0.5,0.6901919841766357
0,249,0.46875,0.6934497356414795
0,299,0.6875,0.6893000602722168
0,349,0.65625,0.6645169258117676
0,399,0.6875,0.6767218708992004
0,449,0.34375,0.6954967975616455
0,499,0.53125,0.6914476752281189
0,549,0.625,0.684769868850708
0,599,0.53125,0.6923319101333618
0,649,0.71875,0.6856854557991028
0,699,0.46875,0.6951151490211487
0,749,0.65625,0.6795904636383057
0,799,0.40625,0.7016780972480774
1,849,0.5,0.6943091154098511
1,899,0.46875,0.6986753940582275
1,949,0.4375,0.6953176856040955
1,999,0.59375,0.6927038431167603
1,1049,0.375,0.7150626182556152
1,1099,0.5,0.6930945515632629
1,1149,0.6875,0.6845114231109619
1,1199,0.5625,0.6925881505012512
1,1249,0.625,0.6886986494064331
1,1299,0.46875,0.6959448456764221
1,1349,0.5,0.6923150420188904
1,1399,0.46875,0.6951459646224976
1,1449,0.375,0.6989615559577942
1,1499,0.46875,0.7124180793762207
1,1549,0.46875,0.6948273181915283
1,1599,0.40625,0.6970595717430115
2,1649,0.4375,0.6935960650444031
2,1699,0.34375,0.7018083930015564
2,1749,0.46875,0.6940746307373047
2,1799,0.46875,0.693439781665802
2,1849,0.625,0.6859225034713745
2,1899,0.5,0.6937530040740967
2,1949,0.5625,0.6853864789009094
2,1999,0.5625,0.6856827139854431
2,2049,0.71875,0.6842638254165649
2,2099,0.5625,0.6915156245231628
2,2149,0.5625,0.6905438303947449
2,2199,0.46875,0.6930680871009827
2,2249,0.46875,0.6944765448570251
2,2299,0.5,0.6943737268447876
2,2349,0.46875,0.6963710188865662
2,2399,0.34375,0.6986397504806519
2,2449,0.4375,0.6992411613464355
3,2499,0.5,0.694524884223938
3,2549,0.5,0.6927136778831482
3,2599,0.5,0.6925919055938721
3,2649,0.375,0.6961303949356079
3,2699,0.40625,0.7021687626838684
3,2749,0.625,0.6878160238265991
3,2799,0.71875,0.6804203987121582
3,2849,0.375,0.6983252763748169
3,2899,0.6875,0.6893479824066162
3,2949,0.5625,0.6920690536499023
3,2999,0.34375,0.6971547603607178
3,3049,0.46875,0.6948044896125793
3,3099,0.46875,0.6934933662414551
3,3149,0.5,0.6908822059631348
3,3199,0.65625,0.6879960894584656
3,3249,0.5,0.6958088278770447
4,3299,0.5,0.6935803294181824
4,3349,0.625,0.6828985214233398
4,3399,0.53125,0.6919028162956238
4,3449,0.625,0.6908208131790161
4,3499,0.46875,0.6958210468292236
4,3549,0.71875,0.6849431991577148
4,3599,0.28125,0.7027446627616882
4,3649,0.46875,0.6937204599380493
4,3699,0.5,0.6933282017707825
4,3749,0.6875,0.6898906230926514
4,3799,0.5,0.692834198474884
4,3849,0.375,0.6975029706954956
4,3899,0.625,0.6879432201385498
4,3949,0.25,0.6996055245399475
4,3999,0.5,0.6939665079116821
4,4049,0.53125,0.6934177875518799
5,4099,0.6875,0.6870120763778687
5,4149,0.6875,0.6887509822845459
5,4199,0.46875,0.6952531933784485
5,4249,0.53125,0.6920561790466309
5,4299,0.5625,0.691072940826416
5,4349,0.53125,0.6915496587753296
5,4399,0.46875,0.6938035488128662
5,4449,0.53125,0.6915594935417175
5,4499,0.53125,0.6930713653564453
5,4549,0.5,0.6936812400817871
5,4599,0.21875,0.7085840106010437
5,4649,0.5625,0.6909778118133545
5,4699,0.46875,0.6944425702095032
5,4749,0.59375,0.6920080184936523
5,4799,0.5,0.6956356167793274
5,4849,0.5,0.6941280364990234
5,4899,0.40625,0.6964293718338013
6,4949,0.5,0.6911788582801819
6,4999,0.65625,0.6864305734634399
6,5049,0.5625,0.6885577440261841
6,5099,0.53125,0.6928304433822632
6,5149,0.59375,0.6866615414619446
6,5199,0.375,0.6985405087471008
